"production_companies","production_countries"
"Aoineko","United States of America"
"simplicity films","Spain"
"Moviestars Production","Philippines"
"Eyeworks","Sweden"
"Film Warriors Entertainment","United States of America"
"New Wave Pictures","United Kingdom"
"Universal island records Ltd","United Kingdom"
"BMG Music","United States of America"
"Sameba","Georgia"
"Hemanth films","India"
"Taiwan Po Li","Taiwan"
"J Team Productions","Singapore"
"Broad Appeal Productions","United States of America"
"Kokers Productions","India"
"Il Mare Film","Austria"
"Shlok Films","India"
"Prathiksha Pictures","India"
"Kaleidoscope Entertainment","United States of America"
"Polar Star Films","Spain"
"Sargam Pictures","India"
"Geordie Sabbagh Productions","Canada"
"Revathi Kalamandir","India"
"Season of Light Pictures","Malaysia"
"Ring Of Honour (ROH)","none"
"Hussey Productions","Australia"
"Warner Music","Brazil"
"Kim Dong Hyun Film","South Korea"
"Zentralamt zur Regelung der Judenfrage in Böhmen und Mähren","Germany"
"Fania Records","United States of America"
"Cinematográfica Azteca","Mexico"
"Blue Suit Productions","United States of America"
"Hybrid","none"
"U.S. Office of War Information","United States of America"
"Malavika Productions","India"
"NHK","Germany"
"French Cinema General Cooperative","France"
"Candice Productions","France"
"Baumant Entertainment","United States of America"
"Manorajyam Release","India"
"HB Filmes","Denmark"
"Rasikar Films","India"
"Carlton Films","India"
"Interlude Films","United States of America"
"Indostar Movie","India"
"Ourvillage Films","India"
"Voice Thoughts","India"
"España Sono Films","Mexico"
"Compañía Cinematográfica Mexicana","Mexico"
"Bustamente y Fuentes","Mexico"
"Film Boris von Borrisholm","Germany"
"Media Films International","United States of America"
"Thelma Film AG","France"
"Paramount Home Video","United States of America"
"Belgoskino","Russia"
"Südwestrundfunk (SWR)","France"
"Nintendo","Japan"
"Zuntata Records","Japan"
"FUNimation Entertainment","United States of America"
"Cordell Jigsaw Zapruder","Australia"
"Italian International Film","Sweden"
"Aberration Films","United States of America"
"NDR Naturfilm","none"
"Lighthouse Pictures","United States of America"
"Multishow","Brazil"
"Westdeutscher Rundfunk (WDR)","Luxembourg"
"Kadokawa Pictures","none"
"EntertainMe Ltd","United States of America"
"Zweites Deutsches Fernsehen (ZDF)","Brazil"
"Ghost At The Feast","United Kingdom"
"Belvision","Belgium"
"TEIA","Brazil"
"Harcourt Films","United Kingdom"
"Lawrie Productions","United Kingdom"
"Young Vic Company","United Kingdom"
"United Maniacs Produktion","Germany"
"Cinequanon","Japan"
"Visual Filmproduktion","Germany"
"Eye Steel Film","Canada"
"Border Music","Sweden"
"Metro Wealth","Malaysia"
"Cipa","France"
"Sperl Productions","Croatia"
"Films A2","Burkina Faso"
"Shankar Films","India"
"Paras Films International [IN]","India"
"Supercollider Productions","Canada"
"Rowish Entertainment","United States of America"
"Fat-Pie","United Kingdom"
"Rainfall Films","United States of America"
"Trinet Entertainment","Japan"
"8180 Films","United States of America"
"Scanbox","Finland"
"International Arts","Australia"
"Stone Productions","Greece"
"Morocha Films","none"
"Breath","Japan"
"Marc Sinden Productions","United Kingdom"
"Tippett Studio","United States of America"
"Balthazar Productions","Belgium"
"Regal Films","Italy"
"Amerinda Est","Italy"
"Gilbert Church Productions","United Kingdom"
"THE REALLY USEFUL THEATRE COMPANY PRODUCTION","Canada"
"Accent Entertainment Corporation","Canada"
"Sivasakthi Movie Makers","India"
"China Film Co-Production Corporation","France"
"Dreams N Beyond","India"
"LLT Productions","United States of America"
"United Artists","Mexico"
"Saga Film","Norway"
"Dai Won Animation Co. Ltd","South Korea"
"Mithya Talkies","India"
"Vidhi Films","Germany"
"Soundchef Studios","United States of America"
"Merrick-Alexander Productions","United States of America"
"Gold Lion Films","United States of America"
"Four Seasons Productions","United States of America"
"Paragon Motion Pictures","Canada"
"Hans Albin Filmproduktion","United States of America"
"Clem Williams Films","United States of America"
"Brunswick Films","United States of America"
"ME Completion","United States of America"
"London Transport Board","United Kingdom"
"Channel 4 Television Corporation","Australia"
"Horse Head Pictures","United States of America"
"Cinex","Thailand"
"Epicmedia","France"
"Nederlandse Christelijke Radio-Vereniging (NCRV)","Sweden"
"Red Granite Pictures","United States of America"
"Honora Productions","United States of America"
"Radius-TWC","United States of America"
"Gary Sanchez Productions","none"
"Suma Filmes","Japan"
"El Viaje Films","France"
"Cinebruto","Argentina"
"Aldamisa Entertainment","Russia"
"Magicland Pictures","Germany"
"Arte France Cinéma","Bulgaria"
"Chateau Wally Films","United States of America"
"VGTRK","Russia"
"South Australian Film Corporation","Canada"
"Pupkin Film","Belgium"
"Boeddhistische Omroep Stichting","Netherlands"
"Blackhawks TV","United States of America"
"Hora Mágica","Portugal"
"La Sept Cinéma","Algeria"
"Animatógrafo II","Angola"
"Hannibal Pictures","France"
"Universal Marion Corporation (UMC)","United Kingdom"
"Fred M. Wilcox Enterprises Inc.","United States of America"
"Plan A Studios","India"
"Suma Filmes","Portugal"
"Coronet Pictures","United States of America"
"Fundação Cidade Guimarães","Portugal"
"Divine Sign Pictures","United States of America"
"NEW. All Rights Reserved.","South Korea"
"Green Fish Pictures","South Korea"
"Brigadiers Films","South Africa"
"Valor Pictures","United States of America"
"Quartier Mozart Films","Cameroon"
"Razak Sport Films","United States of America"
"Lincoln Productions Inc.","United States of America"
"Продюсерский центр Сергея Жигунова","Russia"
"New Kingdom Pictures","none"
"Missing Head Limited","United Kingdom"
"Avid Home Entertainment","United States of America"
"Victory Moving Pictures","United States of America"
"Plural Films","Mexico"
"Grand Productions (I)","United States of America"
"Gunter Otto Produktion","Germany"
"Sony Pictures Releasing","Germany"
"Les films du 24","France"
"Academia Internacional de Cinema","Brazil"
"FMFilm.no","Norway"
"Film Completion Service","United States of America"
"Lucernafilm","Czech Republic"
"Worldwide Films","United States of America"
"Pridi Films","Thailand"
"Hanuman Film","Thailand"
"Santisucha Phaphayon Productions","Thailand"
"Premiere Productions","United States of America"
"North One Television","none"
"㈜디엔에이엔터테인먼트","South Korea"
"Theatre of Life Productions","United States of America"
"World Wide Pictures","United Kingdom"
"Nike","none"
"Kamalam Movies","India"
"Cinema em Cena Produções","Brazil"
"Pomegranate Pendant Productions","Israel"
"Independent Film Distributors","United States of America"
"Meridional Producciones","Spain"
"Krátký film Praha - Studio Bratri v triku","Czech Republic"
"Format Films","United States of America"
"Zero One Film","Germany"
"New Wave Entertainment","none"
"Thalia-Film","United States of America"
"Geoffrey Jones (Films)","United Kingdom"
"JuntoBox Films","United States of America"
"Sun Dial Films Inc.","United States of America"
"Godspeed Pictures","United States of America"
"Charles Huguenot van der Linden Productions","Netherlands"
"Opus Films","United States of America"
"NMN Entertainment Inc.","United States of America"
"Breakout Films","France"
"Epo-Film Produktionsgesellschaft","none"
"Canadian Television (CTV)","United States of America"
"MTV Networks","Netherlands"
"Cherummuttadathu Films","India"
"Petersen Company, The","United States of America"
"Cinegriot","Japan"
"G.A. Hauser Collection","United States of America"
"Instituto Mexicano de Cinematografía","none"
"Industrie Cinematografiche Artistiche Romane (I.C.A.R.)","Italy"
"Cornerhouse Artist Film","United Kingdom"
"Casanova Multimedia","Italy"
"Ingenious Media","Luxembourg"
"Wernham Entertainment","Canada"
"Production HANASHIRO","Japan"
"Kino Klub Split","Croatia"
"Enthuse Entertainment","United States of America"
"Forewarned Films","United States of America"
"S.V. Films","India"
"Vikings Film","India"
"Merdeka Film Productions","Malaysia"
"Citadel Entertainment","none"
"Pro7","none"
"Trigon Films","Iran"
"Orange","Japan"
"3Sat","none"
"Hochschule für Gestaltung Karlsruhe","Germany"
"Expeditionary Films","Australia"
"RheinFilm TV - und Medienproduktionsgesellschaft mbH","Germany"
"Beyond Pictures","Germany"
"Viada Producciones","Argentina"
"The Exchange","United States of America"
"World Productions","United Kingdom"
"Stoned Gremlin","none"
"Brink Films","United States of America"
"Media Vision Pictures","China"
"Stonewall Production","Norway"
"Deutsche Film (DEFA)","none"
"Condor Productions","Germany"
"Endemol Nederland B.V.","Netherlands"
"Fora Film","Russia"
"Laterit Productions","France"
"Total Entertainment","New Zealand"
"Indiana Production Company","Italy"
"Cor Laboratórios","Portugal"
"Shinkô Kinema","Japan"
"National Geographic Channel","Vietnam"
"National Geographic Television","Italy"
"Catherine Dussart Productions (CDP)","Cambodia"
"Columbia TriStar Home Entertainment","none"
"Difference Engine","none"
"Producciones Eduardo Quevedo S.A.","United States of America"
"MindSmack Productions","United States of America"
"MAFILM Pannonia Filmstudio","Hungary"
"Parts and Labor","Brazil"
"MC Production","none"
"Das Kollektiv für audiovisuelle Werke","Switzerland"
"UAU - Produção de Ideias","Portugal"
"Purple Pictures","Canada"
"Katson Motion Pictures Pvt Ltd","India"
"Ki m'aime me suive","France"
"Wiseau-Films","United States of America"
"Rock Island Productions","Canada"
"Hunter/MFG Production","United States of America"
"Mercer Films","United States of America"
"Canyon Country Productions","United States of America"
"Eikon-Südwest","Germany"
"RJ Creations","India"
"Aysha Films","India"
"Backup Media","France"
"Chhayabani Pvt. Ltd","India"
"Supervillain Films","United States of America"
"Lucky Coffee Productions","United States of America"
"IFD Films & Arts Company","Thailand"
"Abbolita Productions","United States of America"
"MMM Film Finance International","Canada"
"Südwestrundfunk","Austria"
"Onset Films","United States of America"
"Katurian Films","United States of America"
"Danny Thomas Productions","United States of America"
"Thimfilm","Austria"
"Shree Venkatesh Films","none"
"Tandem Pictures","Norway"
"The Assignment Moving Picture Company","United States of America"
"Avia Films","France"
"Suhan Movies","Malaysia"
"Slovenský film Bratislava","Slovakia"
"Ministry of Information","none"
"Grupo de Estudos e Realizações (GER)","Portugal"
"Cambridge Documentary Films","United States of America"
"BBC Factual Productions","United Kingdom"
"Memory Lane Productions","United States of America"
"Cedar Grove Productions","United States of America"
"Centre du Cinéma et de l'Audiovisuel de la Communauté Française de Belgique","Belgium"
"KCET","United States of America"
"Green TV","Thailand"
"GP Visual Arts","Italy"
"Idefagskolen","Norway"
"Sojuzmultfilm","Russia"
"Cafe Productions","none"
"Metro-Goldwyn-Mayer (MGM)","Yugoslavia"
"Indra Film Production","Malaysia"
"Reliance BIG Entertainment","India"
"Grupo Zero","Portugal"
"Decca","France"
"Ulyssea Filme","Portugal"
"Câmara Municipal de Lisboa","Portugal"
"Vroom Productions","Canada"
"Surinder Films","India"
"Slovenská Pozicovna Filmov v Bratislava","Slovakia"
"Terra-Filmkunst","France"
"Filmófono","none"
"Triomf Producties","Netherlands"
"Taylor Made Entertainment","United States of America"
"Les Films du Nord","Belgium"
"Cineteam","Netherlands"
"Il Luster Producties","Netherlands"
"Southern Films International","Japan"
"DEM Film","none"
"Maksim Gorki Studio","Germany"
"Fuel Entertainment","Greece"
"Blondie Girl Productions","United States of America"
"Eskay Movies","India"
"arte Geie","France"
"LJ Film","India"
"Tele-Film","Germany"
"Westfield Entertainment","United States of America"
"Monachia Zeynfilm","Germany"
"Johnson Production Group","none"
"Waldemar Schweitzer","Germany"
"Urania Film","Germany"
"Piran-Film + Televisions GmbH","Germany"
"Moholy-Nagy University of Art and Design","Hungary"
"Zenith Film Company","Austria"
"Miller Consolidated Pictures (MCP)","Germany"
"Dimage","France"
"B2FX","none"
"Eva Film","Germany"
"Radical Pictures","United States of America"
"Westdeutscher Rundfunk (WDR)","Italy"
"Sento Inc.","Japan"
"France 3 Cinéma","Georgia"
"PalmStar Media","United States of America"
"Croatia Records","Croatia"
"Pensa & Rocca Producciones","Argentina"
"Urania Film","Austria"
"Marquis Productions","none"
"Kumie Inc","Japan"
"Vice Films","Kenya"
"Sukumar Art Combines","India"
"Worldview Entertainment","Australia"
"Haile Addis Pictures","Ethiopia"
"U.K. Films","United Kingdom"
"Summit Entertainment","Canada"
"Tropico Filmes","Portugal"
"Svenska Filminstitutet (SFI)","Portugal"
"Cine-Qua-Non","Portugal"
"Lagniappe Films","Germany"
"The Combine","United States of America"
"Go Cinema","Japan"
"Garden Films","Portugal"
"NHK BS1","Germany"
"Avalon Productions","Greece"
"Hangar Filmes","Brazil"
"Film Group Inc.","United States of America"
"Wingspan Pictures","United States of America"
"Transfilm Produktion Rom","France"
"Neue Road Movies","Sweden"
"The Made Bed Productions","United States of America"
"Autonomous Pictures","United States of America"
"Studio Filmowe im. Karola Irzykowskiego","Poland"
"TV Cartoons","United Kingdom"
"Lux Film","Austria"
"CyberCraft Video Productions","Canada"
"Teamfilm Wien","Germany"
"Compagnie Cinématographique de France","Italy"
"MR TV-Film","Austria"
"Blast! Films","none"
"Lamport-Sheppard Entertainment","Canada"
"Aeroplano Cine / No Problem Cine","Argentina"
"Twisted Pictures","Australia"
"Decca","none"
"RTV B92","Yugoslavia"
"Zyzak Film Company","none"
"TRANSATLANTIC, INA Entreprise, CANAL +","France"
"Cin-O-Matic Films","Canada"
"Against the Wild Films","Canada"
"Zespół Filmowy """"Rondo"""" / Zespół Filmowy """"X""""","none"
"Cinema Libre Studio","Canada"
"Productora de Películas","Mexico"
