"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins","wiki_title","wikibase_item","Studio","Distributor"
"75-2003","tt0303350","Dog",2002,"N/A","17 min","Drama, Short","Steve Pasvolsky","Steve Pasvolsky","Anele Vellom, Lizo C. Makambi, Danny Keogh","Using a Xhosa boy as a pawn, a farmer teaches his puppy to be white man's best friend. Ten years later, both their lives hang in the balance at the mercy of the dog.","Afrikaans, English","Australia, South Africa","Nominated for 1 Oscar. 2 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BMjE5MTg0OTE4OF5BMl5BanBnXkFtZTcwNjk3MDUyMQ@@._V1_SX300.jpg","N/A","7.1","373","tt0303350","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"75-2003","tt0316013","Prisoner of Paradise",2002,"PG","96 min","Documentary, Biography","Malcolm Clarke, Stuart Sender","Malcolm Clarke","Ian Holm, Robert Lantz, Eleonore Hertzberg","Documentary about Holocaust victim Kurt Gerron.","English","United States, Canada, Germany, United Kingdom","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTU0NTIyNzUxMV5BMl5BanBnXkFtZTYwODA1NTk5._V1_SX300.jpg","N/A","7.6","384","tt0316013","movie",NA,NA,NA,NA,"7.6/10",NA,"82%",NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"75-2003","tt0325638","I'll Wait for the Next One...",2002,"N/A","4 min","Comedy, Short, Romance","Philippe Orreindy","Philippe Orreindy, Thomas Gaudin","Sophie Forte, Thomas Gaudin, Pascal Casanova","A man falls in love while in a subway station.","French","France","Nominated for 1 Oscar. 14 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BMjgyZTVkNzktMDY2Ny00OWM5LThkZDQtMmM1MWQyOWIyNjI5XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg","N/A","7.4","1,695","tt0325638","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"75-2003","tt0334405","Spellbound",2002,"G","97 min","Documentary, Comedy, Thriller","Jeffrey Blitz","N/A","Angela Arenivar, Ubaldo Arenivar, Jorge Arenivar","Spellbound follows eight teenagers on their quest to win the 1999 National Spelling Bee.","English, Spanish","United States","Nominated for 1 Oscar. 17 wins & 19 nominations total","https://m.media-amazon.com/images/M/MV5BMTc3NjA3MzUwNF5BMl5BanBnXkFtZTYwMDg0NjI3._V1_SX300.jpg","80","7.6","12,207","tt0334405","movie",NA,NA,NA,NA,"7.6/10","80/100","97%",6,2021-08-20,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"76-2004","tt0323844","The Red Jacket",2002,"N/A","20 min","Short, Drama","Florian Baxmeyer","Elke Schuch","Nikola Jankovic, Ulrich Noethen, Catrin Striebeck","A German father's soccer-playing son is hit by a car and dies. The father donates the boy's red jacket to charity, where it ends up in war-torn Sarajevo. The boy's parents are killed, and he almost is. Some UN soldiers find him, and","German, Serbo-Croatian, English","Germany","Nominated for 1 Oscar. 5 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BODY5YTk4MzEtYWNhNy00MGVkLWE1MjYtOGY0ODg2ZmZhNDFmXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg","N/A","7.5","189","tt0323844","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"76-2004","tt0350476","(A)Torzija",2003,"N/A","15 min","Short, Drama","Stefan Arsenijevic","Abdulah Sidran","Davor Janjic, Admir Glamocak, Emina Muftic","A singing group, trying to escape war-torn Sarajevo, has to wait for a tunnel to clear. While they wait, a cow has difficulty giving birth because of the ""torsion"" affecting its calf (i.e., it's in a twisted position inside). Fortuna","Serbo-Croatian","Slovenia","Nominated for 1 Oscar. 13 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BODk1ZWIwZGItNmVjYy00ODllLWEwN2QtZTY5YTk2ZmJiODFkXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg","N/A","7.3","354","tt0350476","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"77-2005","tt0443499","Everything in This Country Must",2004,"N/A","20 min","Drama, Short","Gary McKendry","Colum McCann, Gary McKendry","Sam Spruell, Gerry Doherty, Karly Greene","Northern Ireland. Soldiers, through inattention, run into a car with a woman and her young son. Two years later, a horse is stuck in the river, and the soldiers happen along, but the horse's owner is violently opposed to their help;","English","United States","Nominated for 1 Oscar. 5 wins & 1 nomination total","N/A","N/A","7.5","102","tt0443499","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"79-2007","tt0460616","One Too Many",2005,"N/A","16 min","Short, Comedy","Borja Cobeaga","Sergio Barrejón, Borja Cobeaga","Ramón Barea, Mariví Bilbao, Alejandro Tejerías","After his wife leaves him, Joaquín brings his mother-in-law back home to look after him and his son.","Spanish","Spain","Nominated for 1 Oscar. 8 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTI1OTYzMTQ2NF5BMl5BanBnXkFtZTcwNDkwMjE0MQ@@._V1_SX300.jpg","N/A","7.2","653","tt0460616","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"79-2007","tt0859595","The Blood of Yingzhou District",2006,"Not Rated","38 min","Documentary, Short","Ruby Yang","N/A","Huang Children, Gao Jun, Nan Nan","A year in the life of children in the Province of Anhui in China, who have lost their parents to AIDS. Traditional obligations to family and village collide with terror of the disease.","English, Mandarin","China, United States","Won 1 Oscar. 10 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BMTI5MzUzNDE2NV5BMl5BanBnXkFtZTcwNzAzODQxNA@@._V1_SX300.jpg","N/A","7.4","283","tt0859595","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1,NA,NA,NA,NA
"79-2007","tt0955271","Helmer & Son",2006,"TV-MA","13 min","Short, Comedy, Drama","Søren Pilmark","Roni Ezra, Pelle Møller","Per Pallesen, Steen Stig Lommer, Ditte Hansen","After an elderly man locks himself in a closet at a nursing home, his son and daughter try to persuade him to come out.","Danish","Denmark","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZWEzOWMzOWYtODU3MC00NTMxLWEzNzEtYTYzYzVlYmFiZjllXkEyXkFqcGdeQXVyMjk4MTU1MjM@._V1_SX300.jpg","N/A","6.8","438","tt0955271","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"79-2007","tt0982919","Rehearsing a Dream",2006,"N/A","40 min","Documentary, Short","Karen Goodman, Kirk Simon","N/A","Vanessa Williams, Mikhail Baryshnikov, Michael Tilson Thomas","Support for the arts in America may be dwindling, but talent in our high schools isn't. Every year a group of the country's most gifted 17-year-old performing and visual artists - singled out among thousands of their peers - share a","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjIxNzQ1OTcyNV5BMl5BanBnXkFtZTcwNjM0MzUwNg@@._V1_SX300.jpg","N/A","6.8","39","tt0982919","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"80-2008","tt0879843","Katyn",2007,"Not Rated","121 min","Drama, History, War","Andrzej Wajda","Andrzej Mularczyk, Przemyslaw Nowakowski, Wladyslaw Pasikowski","Andrzej Chyra, Maja Ostaszewska, Artur Zmijewski","An examination of the Soviet slaughter of thousands of Polish officers and citizens in the Katyn forest in 1940.","Polish, Russian, German, Ukrainian","Poland","Nominated for 1 Oscar. 14 wins & 14 nominations total","https://m.media-amazon.com/images/M/MV5BMjk3ODEzNzIwMl5BMl5BanBnXkFtZTcwMzM5Mjc1MQ@@._V1_SX300.jpg","81","7.0","16,276","tt0879843","movie",NA,NA,NA,NA,"7.0/10","81/100","91%",NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"80-2008","tt0922627","The Substitute",2007,"N/A","17 min","Short, Comedy","Andrea Jublin","N/A","Valentino Campitelli, Arianna Dal Buono, Lorenzo de Cicco","There's something strange about the new substitute teacher in class.","Italian","Italy","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjcwZTg5OGMtYTlmZS00OTc1LWFhY2EtMDdhMzBmMmJmMDdkXkEyXkFqcGdeQXVyODAzNzcwMjU@._V1_SX300.jpg","N/A","6.8","496","tt0922627","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"80-2008","tt1176466","The Tonto Woman",2008,"N/A","35 min","Short, Drama, Romance","Daniel Barber","Elmore Leonard, Joe Shrapnel","Charlotte Asprey, Francesco Quinn, Richard Brake","A white woman is kidnapped from her home by Apache Indians. Traded to the Mojave Indians, she lives as a squaw for 11 years until she is found by her husband. Unfit for society he keeps her in a shack in the desert. Her solitary exis","English","United Kingdom","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BYTYwNDVmMDgtMmU2Ny00YTAzLTk0YjctNWEzZmIzYzhlN2Q1XkEyXkFqcGdeQXVyMjk1NzAxNg@@._V1_SX300.jpg","N/A","7.0","525","tt1176466","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"81-2009","tt1186020","Manon on the Asphalt",2007,"TV-MA","15 min","Short, Drama, Romance","Elizabeth Marre, Olivier Pont","Elizabeth Marre, Olivier Pont","Aude Léger","A woman gains a new insight of life while she's near death.","French","France","Nominated for 1 Oscar. 3 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTk2MjI1NTUwMV5BMl5BanBnXkFtZTgwMjkzMjA2MDE@._V1_SX300.jpg","N/A","7.5","330","tt1186020","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"81-2009","tt1333640","The Pig",2008,"Not Rated","23 min","Short, Drama","Dorte Warnøe Høgh","Anders Frithiof August, Lars Saabye Christensen, Dorte Warnøe Høgh","Nani Amma, Jesper Asholt, Mette Agnete Horn","Is personal freedom more important than religious rights? An epic debate staged over a tiny painting in a bare hospital room.","Danish","Denmark","Nominated for 1 Oscar. 4 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMjc4MDMyNjI1Nl5BMl5BanBnXkFtZTcwNzUzMDQzMg@@._V1_SX300.jpg","N/A","7.5","378","tt1333640","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"82-2010","tt1351684","Instead of Abracadabra",2008,"N/A","22 min","Short, Action, Comedy","Patrik Eklund","Patrik Eklund","Simon J. Berger, Jacob Nordenson, Anki Larsson","A man who still lives with his parents tries to realize his dream of becoming a magician.","Swedish","Sweden","Nominated for 1 Oscar. 2 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BMTUzYzhmZTMtZDIzYi00MzZmLWE5MTctMTVlOTBkMWI2NDc4XkEyXkFqcGdeQXVyMjk4MTU1MjM@._V1_SX300.jpg","N/A","7.3","537","tt1351684","movie",NA,NA,NA,NA,"7.3/10",NA,NA,6,2022-12-31,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"82-2010","tt1381557","The Door",2008,"Not Rated","17 min","Short, Drama","Juanita Wilson","N/A","Igor Sigov, Dzhuletta Gering, Liliyn Grechk","After stealing an old door, a man reflects on the desperate circumstances that led him to do so.","Russian","Ireland","Nominated for 1 Oscar. 4 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTgzMDk0NjgzNl5BMl5BanBnXkFtZTgwNjI4MDY3MDE@._V1_SX300.jpg","N/A","7.2","614","tt1381557","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"82-2010","tt1399573","Kavi",2009,"TV-PG","19 min","Short, Drama","Gregg Helvey","Gregg Helvey","Sagar Salunke, Ulhas Tayade, Rajesh Kumar","The story of a young boy who attempts to escape from the brick kiln where he is forced to work as a bonded labor slave in India.","Hindi","United States, India","Nominated for 1 Oscar. 20 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzE3ZWVmZDQtZDg4Mi00ZDk5LTg5ZjktODU2ZWE5ODk3OGRmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","6.9","378","tt1399573","movie",NA,NA,NA,NA,"6.9/10",NA,NA,6,2022-12-31,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"83-2011","tt1744887","The Warriors of Qiugang",2010,"N/A","39 min","Documentary, Short","Ruby Yang","Thomas Lennon","Wang Yongcui, Gongli Zhang","Villagers in a remote district of central China take on a chemical company that is poisoning their water and air. For five years they fight to transform their environment and as they do, they find themselves transformed as well.","Chinese","United States","Nominated for 1 Oscar. 1 win & 3 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ5OTY5NDYwNV5BMl5BanBnXkFtZTcwNjk5MTkxNA@@._V1_SX300.jpg","N/A","7.4","166","tt1744887","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"84-2012","tt1521197","Anonymous",2011,"PG-13","130 min","Drama, Thriller","Roland Emmerich","John Orloff","Rhys Ifans, Vanessa Redgrave, David Thewlis","The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.","English, French, Italian, Greek, Ancient (to 1453)","United Kingdom, Germany, United States","Nominated for 1 Oscar. 7 wins & 12 nominations total","https://m.media-amazon.com/images/M/MV5BMjAxOTA5MTMxOV5BMl5BanBnXkFtZTcwNDI4MzU0NQ@@._V1_SX300.jpg","50","6.9","40,376","tt1521197","movie",NA,NA,NA,NA,"6.9/10","50/100","45%",NA,NA,NA,NA,NA,"Y",1,1,0,NA,NA,NA,NA
"86-2014","tt3080074","Possessions",2012,"N/A","14 min","Animation, Short, Fantasy","Shuhei Morita","N/A","Kôichi Yamadera, Aoi Yûki, Takeshi Kusao","One night of the eighteenth century, in the depths of the mountain, a human being is lost and finds a small temple. In the moment when he enters the room space is transformed into a completely different world.","Japanese","Japan","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BZTEzOTE4OGUtMWVhNS00MzExLTkxZDEtYmU5NmE2M2FjZjI0XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","N/A","6.8","773","tt3080074","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"92-2020","tt11421246","Saria",2019,"N/A","22 min","Short, Drama","Bryan Buckley","Bryan Buckley","Estefanía Tellez, Gabriela Ramírez, Verónica Zúñiga","SARIA explores the unimaginable hardships faced by young female orphans at the Virgen de La Asuncion Safe Home in Guatemala, leading up to the tragic fire which claimed 41 of their lives in 2017. We follow the story of two inseparabl","Spanish","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjE4ZTQwZjQtZmQ0NC00MDAzLWI0MzgtZDJjOTI3MDc5NzI3XkEyXkFqcGdeQXVyMTkzNjQ1MDA@._V1_SX300.jpg","N/A","7.1","1,017","tt11421246","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0,NA,NA,NA,NA
"93-2021","tt8580274","Eurovision Song Contest: The Story of Fire Saga",2020,"PG-13","123 min","Comedy, Musical","David Dobkin","Will Ferrell, Andrew Steele","Will Ferrell, Rachel McAdams, Dan Stevens","When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.","English, Icelandic, Portuguese","United States, Iceland, Canada","Nominated for 1 Oscar. 6 wins & 28 nominations total","https://m.media-amazon.com/images/M/MV5BYzRjYzA5NTQtOTE3MC00OTYzLWEzODItMzQxYWE1NDJkMDA0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg","50","6.5","89,158","tt8580274","movie",NA,NA,NA,NA,"6.5/10","50/100","63%",5,2021-07-18,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"94-2022","tt11383280","Please Hold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2022-03-01,NA,"Y",NA,NA,1,1,0,NA,NA,NA,NA
"94-2022","tt11924384","The Long Goodbye",2020,"N/A","12 min","Short, Drama, Musical","Aneil Karia","Aneil Karia, Riz Ahmed","Riz Ahmed, Hussina Raja, Javed Hashmi","Riz and his family are in the middle of a typical family day in their house, whilst a far right march plays out on the telly in the background, which eventually arrives at their front door, leading to a devastating outcome.","English, Urdu, Arabic","United Kingdom, Netherlands","4 wins & 3 nominations","https://m.media-amazon.com/images/M/MV5BOWIwMjdlMjktMDU2Mi00MmQ0LTkzMTktYzU1NjhkNGU0Nzc0XkEyXkFqcGdeQXVyMzQ0Mjc5MzA@._V1_SX300.jpg","N/A","7.9","497","tt11924384","movie",NA,NA,NA,NA,"7.9/10",NA,NA,8,2022-03-01,NA,"Y",NA,NA,1,0,1,NA,NA,NA,NA
"95-2023","tt22054902","Ivalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2023-02-21,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
